model,epoch,phase,epock_loss,epoch_acc
finetune,0,train,1.030108311391539,0.6272222222222222
finetune,0,test,0.5354468713576594,0.8022916666666666
finetune,1,train,0.8413076530314154,0.6965277777777777
finetune,1,test,0.6478425163278977,0.7529166666666667
finetune,2,train,0.7867284934388267,0.7202777777777778
finetune,2,test,0.5440866018707553,0.8029166666666666
finetune,3,train,0.7651525575667619,0.7261111111111112
finetune,3,test,0.558534454194208,0.81375
finetune,4,train,0.7032784352865484,0.7504166666666666
finetune,4,test,0.44234665133059026,0.835
finetune,5,train,0.6670633558183908,0.7634722222222222
finetune,5,test,0.4122323771690329,0.8491666666666666
finetune,6,train,0.6326951258132855,0.7756944444444445
finetune,6,test,0.49852742000172534,0.8279166666666666
finetune,7,train,0.4974111461887757,0.8240277777777778
finetune,7,test,0.43882500936587654,0.8429166666666666
finetune,8,train,0.46321973635090724,0.8306944444444444
finetune,8,test,0.3584133835385243,0.8754166666666666
finetune,9,train,0.44801570132374763,0.8411111111111111
finetune,9,test,0.3714245124409596,0.8675
finetune,10,train,0.45373460862371656,0.8384722222222222
finetune,10,test,0.34955913936098415,0.87625
finetune,11,train,0.4409401901645793,0.8443055555555555
finetune,11,test,0.346929192468524,0.874375
finetune,12,train,0.4217177281363143,0.8490277777777778
finetune,12,test,0.3422318816309174,0.8814583333333333
finetune,13,train,0.42959274417824217,0.84875
finetune,13,test,0.3403086803605159,0.879375
finetune,14,train,0.4038897495302889,0.8606944444444444
finetune,14,test,0.3438013428946336,0.8783333333333333
finetune,15,train,0.4155161250879367,0.855
finetune,15,test,0.37134338202575845,0.8729166666666667
finetune,16,train,0.41051906762023765,0.8565277777777778
finetune,16,test,0.32863317854702473,0.8864583333333333
finetune,17,train,0.4115602540059222,0.8544444444444445
finetune,17,test,0.3398069522778193,0.878125
finetune,18,train,0.4017104696896341,0.8565277777777778
finetune,18,test,0.32706963022549945,0.8827083333333333
finetune,19,train,0.40754541092448765,0.8580555555555556
finetune,19,test,0.34603007562458515,0.8783333333333333
finetune,20,train,0.4052933170563645,0.8575
finetune,20,test,0.3288174624120196,0.8827083333333333
finetune,21,train,0.3975327891111374,0.8629166666666667
finetune,21,test,0.33590587178866066,0.88125
finetune,22,train,0.4013931162738138,0.8566666666666667
finetune,22,test,0.3596389673029383,0.8729166666666667
finetune,23,train,0.4068344526324007,0.8561111111111112
finetune,23,test,0.3473405289029082,0.8766666666666667
finetune,24,train,0.38984395742416383,0.8651388888888889
finetune,24,test,0.34656303726136684,0.8775
finetune,25,train,0.3939177989380227,0.8631944444444445
finetune,25,test,0.3578489559764663,0.8708333333333333
finetune,26,train,0.38650203422539764,0.8659722222222223
finetune,26,test,0.361698513229688,0.8725
finetune,27,train,0.41074212655425074,0.8538888888888889
finetune,27,test,0.3231153177221616,0.8866666666666667
finetune,28,train,0.3998101045770778,0.8577777777777778
finetune,28,test,0.3382873861740033,0.8795833333333334
finetune,29,train,0.39667785649498305,0.8579166666666667
finetune,29,test,0.3475569590677818,0.875625
finetune,30,train,0.40480028888417613,0.8572222222222222
finetune,30,test,0.34053962321331105,0.8783333333333333
finetune,31,train,0.38483739854560955,0.8598611111111111
finetune,31,test,0.3597311260427038,0.8766666666666667
finetune,32,train,0.4135948392997185,0.8565277777777778
finetune,32,test,0.3518525444592039,0.8735416666666667
finetune,33,train,0.39997940888835326,0.85625
finetune,33,test,0.33692632731050254,0.8820833333333333
finetune,34,train,0.4043794239146842,0.8577777777777778
finetune,34,test,0.33136473869283994,0.880625
finetune,35,train,0.39854506437977155,0.8616666666666667
finetune,35,test,0.35831760536879304,0.8735416666666667
finetune,36,train,0.42306516125798227,0.8518055555555556
finetune,36,test,0.3157668956493338,0.8866666666666667
finetune,37,train,0.395069352057245,0.8595833333333334
finetune,37,test,0.33928760509938,0.8845833333333334
finetune,38,train,0.40648411522308986,0.8566666666666667
finetune,38,test,0.37075659666210414,0.8720833333333333
finetune,39,train,0.39977045233050984,0.8593055555555555
finetune,39,test,0.3460705441609025,0.8814583333333333
finetune,40,train,0.3930317320757442,0.8611111111111112
finetune,40,test,0.3585823599124948,0.8733333333333333
finetune,41,train,0.41162316089702977,0.85625
finetune,41,test,0.34186967838555576,0.8802083333333334
finetune,42,train,0.3952415709777011,0.8581944444444445
finetune,42,test,0.33764030470202366,0.8802083333333334
finetune,43,train,0.393343913745549,0.8625
finetune,43,test,0.3872904517377416,0.86375
finetune,44,train,0.3994544789029492,0.8580555555555556
finetune,44,test,0.3421795633683602,0.8808333333333334
finetune,45,train,0.38731332232554755,0.8613888888888889
finetune,45,test,0.3687876945113142,0.8720833333333333
finetune,46,train,0.39935491954286895,0.8595833333333334
finetune,46,test,0.36101278390735386,0.8752083333333334
finetune,47,train,0.40222024341424306,0.8595833333333334
finetune,47,test,0.4120110624904434,0.8579166666666667
finetune,48,train,0.3907927979114983,0.8640277777777777
finetune,48,test,0.38986269967009624,0.8629166666666667
finetune,49,train,0.3987940490742524,0.8590277777777777
finetune,49,test,0.3320996661235889,0.8822916666666667
finetune,50,train,0.4051457438452376,0.8577777777777778
finetune,50,test,0.34438768833875655,0.8791666666666667
finetune,51,train,0.39588872688512006,0.8622222222222222
finetune,51,test,0.3725452932715416,0.87375
finetune,52,train,0.40206025347941454,0.8558333333333333
